volume,author_id,work_id,book,books_in_osis,chapter_start,verse_start,testament_group,osis_ref,passage
volume_1,irenaeus,against_heresies_iii,Matt,Matt,1,12,new_testament,Bible:Matt.1.12-Matt.1.16,Matt. i. 12–16
volume_1,irenaeus,against_heresies_iii,Jer,Jer,22,24,old_testament_or_other,Bible:Jer.22.24-Jer.22.25,"Jer. xxii. 24, 25"
volume_1,irenaeus,against_heresies_iii,Jer,Jer,22,28,old_testament_or_other,Bible:Jer.22.28,Jer. xxii. 28
volume_1,irenaeus,against_heresies_iii,Jer,Jer,36,30,old_testament_or_other,Bible:Jer.36.30-Jer.36.31,"Jer. xxxvi. 30, 31"
volume_1,irenaeus,against_heresies_iii,Gen,Gen,2,5,old_testament_or_other,Bible:Gen.2.5,Gen. ii. 5
volume_1,irenaeus,against_heresies_iii,Matt,Matt,5,5,new_testament,Bible:Matt.5.5,Matt. v. 5
volume_1,irenaeus,against_heresies_iii,Rom,Rom,1,3,new_testament,Bible:Rom.1.3-Rom.1.4,"Rom. i. 3, 4"
volume_1,irenaeus,against_heresies_iii,John,John,4,6,new_testament,Bible:John.4.6,John iv. 6
volume_1,irenaeus,against_heresies_iii,Ps,Ps,69,27,old_testament_or_other,Bible:Ps.69.27,Ps. lxix. 27
volume_1,irenaeus,against_heresies_iii,Matt,Matt,26,38,new_testament,Bible:Matt.26.38,Matt. xxvi. 38
volume_1,irenaeus,against_heresies_iii,Luke,Luke,1,38,new_testament,Bible:Luke.1.38,Luke i. 38
volume_1,irenaeus,against_heresies_iii,Gen,Gen,2,25,old_testament_or_other,Bible:Gen.2.25,Gen. ii. 25
volume_1,irenaeus,against_heresies_iii,Matt,Matt,19,30,new_testament,Bible:Matt.19.30,Matt. xix. 30
volume_1,irenaeus,against_heresies_iii,Matt,Matt,20,16,new_testament,Bible:Matt.20.16,Matt. xx. 16
volume_1,irenaeus,against_heresies_iii,Ps,Ps,45,17,old_testament_or_other,Bible:Ps.45.17,Ps. xlv. 17
volume_1,irenaeus,against_heresies_iii,Rev,Rev,1,5,new_testament,Bible:Rev.1.5,Rev. i. 5
volume_1,irenaeus,against_heresies_iii,1Cor,1Cor,15,20,new_testament,Bible:1Cor.15.20-1Cor.15.22,1 Cor. xv. 20–22
volume_1,irenaeus,against_heresies_iii,Acts,Acts,1,7,new_testament,Bible:Acts.1.7,Acts i. 7
volume_1,irenaeus,against_heresies_iii,Gen,Gen,1,26,old_testament_or_other,Bible:Gen.1.26,Gen. i. 26
volume_1,irenaeus,against_heresies_iii,Gen,Gen,3,16,old_testament_or_other,Bible:Gen.3.16,Gen. iii. 16
volume_1,irenaeus,against_heresies_iii,Gen,Gen,3,14,old_testament_or_other,Bible:Gen.3.14,Gen. iii. 14
volume_1,irenaeus,against_heresies_iii,Matt,Matt,25,41,new_testament,Bible:Matt.25.41,Matt. xxv. 41
volume_1,irenaeus,against_heresies_iii,Gen,Gen,4,7,old_testament_or_other,Bible:Gen.4.7,Gen. iv. 7
volume_1,irenaeus,against_heresies_iii,Prov,Prov,1,7,old_testament_or_other,Bible:Prov.1.7,Prov. i. 7
volume_1,irenaeus,against_heresies_iii,Prov,Prov,9,10,old_testament_or_other,Bible:Prov.9.10,Prov. ix. 10
volume_1,irenaeus,against_heresies_iii,Gen,Gen,3,13,old_testament_or_other,Bible:Gen.3.13,Gen. iii. 13
volume_1,irenaeus,against_heresies_iii,Rom,Rom,6,7,new_testament,Bible:Rom.6.7,Rom. vi. 7
volume_1,irenaeus,against_heresies_iii,Ps,Ps,91,13,old_testament_or_other,Bible:Ps.91.13,Ps. xci. 13
volume_1,irenaeus,against_heresies_iii,Rev,Rev,20,2,new_testament,Bible:Rev.20.2,Rev. xx. 2
volume_1,irenaeus,against_heresies_iii,Luke,Luke,10,19,new_testament,Bible:Luke.10.19,Luke x. 19
volume_1,irenaeus,against_heresies_iii,1Cor,1Cor,15,26,new_testament,Bible:1Cor.15.26,1 Cor. xv. 26
volume_1,irenaeus,against_heresies_iii,1Cor,1Cor,15,54,new_testament,Bible:1Cor.15.54-1Cor.15.55,"1 Cor. xv. 54, 55"
volume_1,irenaeus,against_heresies_iii,Luke,Luke,15,4,new_testament,Bible:Luke.15.4,Luke xv. 4
volume_1,irenaeus,against_heresies_iii,1Cor,1Cor,15,22,new_testament,Bible:1Cor.15.22,1 Cor. xv. 22
volume_1,irenaeus,against_heresies_iii,Rom,Rom,5,20,new_testament,Bible:Rom.5.20,Rom. v. 20
volume_1,irenaeus,against_heresies_iii,Jer,Jer,2,13,old_testament_or_other,Bible:Jer.2.13,Jer. ii. 13
volume_1,irenaeus,against_heresies_iii,Prov,Prov,22,3,old_testament_or_other,Bible:Prov.22.3,Prov. xxii. 3
volume_1,irenaeus,against_heresies_iii,Prov,Prov,27,12,old_testament_or_other,Bible:Prov.27.12,Prov. xxvii. 12
volume_1,irenaeus,against_heresies_iii,Matt,Matt,5,45,new_testament,Bible:Matt.5.45,Matt. v. 45
volume_1,irenaeus,against_heresies_iv,Luke,Luke,1,2,new_testament,Bible:Luke.1.2,Luke i. 2
volume_1,irenaeus,against_heresies_iv,2Tim,2Tim,2,23,new_testament,Bible:2Tim.2.23,2 Tim. ii. 23
volume_1,irenaeus,against_heresies_iv,1John,1John,2,18,new_testament,Bible:1John.2.18,1 John ii. 18
volume_1,irenaeus,against_heresies_iv,2Pet,2Pet,2,19,new_testament,Bible:2Pet.2.19,2 Pet. ii. 19
volume_1,irenaeus,against_heresies_iv,Rev,Rev,12,9,new_testament,Bible:Rev.12.9,Rev. xii. 9
volume_1,irenaeus,against_heresies_iv,Gen,Gen,1,26,old_testament_or_other,Bible:Gen.1.26,Gen. i. 26
volume_1,irenaeus,against_heresies_iv,John,John,17,3,new_testament,Bible:John.17.3,John xvii. 3
volume_1,irenaeus,against_heresies_iv,Matt,Matt,23,9,new_testament,Bible:Matt.23.9,Matt. xxiii. 9
volume_1,irenaeus,against_heresies_iv,Deut,Deut,32,1,old_testament_or_other,Bible:Deut.32.1,Deut. xxxii. 1
volume_1,irenaeus,against_heresies_iv,Ps,Ps,124,8,old_testament_or_other,Bible:Ps.124.8,Ps. cxxiv. 8
volume_1,irenaeus,against_heresies_iv,Isa,Isa,1,2,old_testament_or_other,Bible:Isa.1.2,Isa. i. 2
volume_1,irenaeus,against_heresies_iv,Isa,Isa,42,5,old_testament_or_other,Bible:Isa.42.5,Isa. xlii. 5
volume_1,irenaeus,against_heresies_iv,Matt,Matt,11,25,new_testament,Bible:Matt.11.25,Matt. xi. 25
volume_1,irenaeus,against_heresies_iv,Luke,Luke,10,21,new_testament,Bible:Luke.10.21,Luke x. 21
volume_1,irenaeus,against_heresies_iv,Deut,Deut,6,4,old_testament_or_other,Bible:Deut.6.4,Deut. vi. 4
volume_1,irenaeus,against_heresies_iv,John,John,5,46,new_testament,Bible:John.5.46-John.5.47,"John v. 46, 47"
volume_1,irenaeus,against_heresies_iv,Luke,Luke,16,31,new_testament,Bible:Luke.16.31,Luke xvi. 31
volume_1,irenaeus,against_heresies_iv,Luke,Luke,16,19,new_testament,Bible:Luke.16.19,Luke xvi. 19
volume_1,irenaeus,against_heresies_iv,Isa,Isa,5,12,old_testament_or_other,Bible:Isa.5.12,Isa. v. 12
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,34,new_testament,Bible:Matt.5.34,Matt. v. 34
volume_1,irenaeus,against_heresies_iv,Isa,Isa,66,1,old_testament_or_other,Bible:Isa.66.1,Isa. lxvi. 1
volume_1,irenaeus,against_heresies_iv,Matt,Matt,21,13,new_testament,Bible:Matt.21.13,Matt. xxi. 13
volume_1,irenaeus,against_heresies_iv,Isa,Isa,1,23,old_testament_or_other,Bible:Isa.1.23,Isa. i. 23
volume_1,irenaeus,against_heresies_iv,Jer,Jer,4,22,old_testament_or_other,Bible:Jer.4.22,Jer. iv. 22
volume_1,irenaeus,against_heresies_iv,Matt,Matt,10,6,new_testament,Bible:Matt.10.6,Matt. x. 6
volume_1,irenaeus,against_heresies_iv,John,John,4,41,new_testament,Bible:John.4.41,John iv. 41
volume_1,irenaeus,against_heresies_iv,Rom,Rom,11,26,new_testament,Bible:Rom.11.26,Rom. xi. 26
volume_1,irenaeus,against_heresies_iv,Gal,Gal,3,24,new_testament,Bible:Gal.3.24,Gal. iii. 24
volume_1,irenaeus,against_heresies_iv,Num,Num,21,8,old_testament_or_other,Bible:Num.21.8,Num. xxi. 8
volume_1,irenaeus,against_heresies_iv,John,John,12,32,new_testament,Bible:John.12.32,John xii. 32
volume_1,irenaeus,against_heresies_iv,John,John,3,14,new_testament,Bible:John.3.14,John iii. 14
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,7,31,new_testament,Bible:1Cor.7.31,1 Cor. vii. 31
volume_1,irenaeus,against_heresies_iv,Ps,Ps,102,25,old_testament_or_other,Bible:Ps.102.25-Ps.102.28,Ps. cii. 25–28
volume_1,irenaeus,against_heresies_iv,Isa,Isa,51,6,old_testament_or_other,Bible:Isa.51.6,Isa. li. 6
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,35,new_testament,Bible:Matt.5.35,Matt. v. 35
volume_1,irenaeus,against_heresies_iv,Jer,Jer,7,4,old_testament_or_other,Bible:Jer.7.4,Jer. vii. 4
volume_1,irenaeus,against_heresies_iv,Rev,Rev,2,5,new_testament,Bible:Rev.2.5,Rev. ii. 5
volume_1,irenaeus,against_heresies_iv,Rom,Rom,11,21,new_testament,Bible:Rom.11.21,Rom. xi. 21
volume_1,irenaeus,against_heresies_iv,Isa,Isa,27,6,old_testament_or_other,Bible:Isa.27.6,Isa. xxvii. 6
volume_1,irenaeus,against_heresies_iv,Luke,Luke,16,16,new_testament,Bible:Luke.16.16,Luke xvi. 16
volume_1,irenaeus,against_heresies_iv,2Sam,2Sam,5,7,old_testament_or_other,Bible:2Sam.5.7,2 Sam. v. 7
volume_1,irenaeus,against_heresies_iv,Isa,Isa,1,8,old_testament_or_other,Bible:Isa.1.8,Isa. i. 8
volume_1,irenaeus,against_heresies_iv,Mal,Mal,4,1,old_testament_or_other,Bible:Mal.4.1,Mal. iv. 1
volume_1,irenaeus,against_heresies_iv,Matt,Matt,3,11,new_testament,Bible:Matt.3.11,Matt. iii. 11
volume_1,irenaeus,against_heresies_iv,Ps,Ps,49,12,old_testament_or_other,Bible:Ps.49.12,Ps. xlix. 12
volume_1,irenaeus,against_heresies_iv,Eph,Eph,2,7,new_testament,Bible:Eph.2.7,Eph. ii. 7
volume_1,irenaeus,against_heresies_iv,Isa,Isa,43,10,old_testament_or_other,Bible:Isa.43.10,Isa. xliii. 10
volume_1,irenaeus,against_heresies_iv,Isa,Isa,12,4,old_testament_or_other,Bible:Isa.12.4,Isa. xii. 4
volume_1,irenaeus,against_heresies_iv,Matt,Matt,22,29,new_testament,Bible:Matt.22.29,Matt. xxii. 29
volume_1,irenaeus,against_heresies_iv,Exod,Exod,3,6,old_testament_or_other,Bible:Exod.3.6,Ex. iii. 6
volume_1,irenaeus,against_heresies_iv,John,John,11,25,new_testament,Bible:John.11.25,John xi. 25
volume_1,irenaeus,against_heresies_iv,Ps,Ps,45,16,old_testament_or_other,Bible:Ps.45.16,Ps. xlv. 16
volume_1,irenaeus,against_heresies_iv,John,John,8,56,new_testament,Bible:John.8.56,John viii. 56
volume_1,irenaeus,against_heresies_iv,Rom,Rom,4,3,new_testament,Bible:Rom.4.3,Rom. iv. 3
volume_1,irenaeus,against_heresies_iv,Phil,Phil,2,15,new_testament,Bible:Phil.2.15,Phil. ii. 15
volume_1,irenaeus,against_heresies_iv,Gen,Gen,22,6,old_testament_or_other,Bible:Gen.22.6,Gen. xxii. 6
volume_1,irenaeus,against_heresies_iv,Gen,Gen,14,22,old_testament_or_other,Bible:Gen.14.22,Gen. xiv. 22
volume_1,irenaeus,against_heresies_iv,Matt,Matt,11,27,new_testament,Bible:Matt.11.27,Matt. xi. 27
volume_1,irenaeus,against_heresies_iv,Luke,Luke,10,22,new_testament,Bible:Luke.10.22,Luke x. 22
volume_1,irenaeus,against_heresies_iv,John,John,5,30,new_testament,Bible:John.5.30-John.5.39,John v. 30–39
volume_1,irenaeus,against_heresies_iv,Mark,Mark,1,24,new_testament,Bible:Mark.1.24,Mark i. 24
volume_1,irenaeus,against_heresies_iv,Matt,Matt,4,3,new_testament,Bible:Matt.4.3,Matt. iv. 3
volume_1,irenaeus,against_heresies_iv,Luke,Luke,4,3,new_testament,Bible:Luke.4.3,Luke iv. 3
volume_1,irenaeus,against_heresies_iv,Gen,Gen,17,17,old_testament_or_other,Bible:Gen.17.17,Gen. xvii. 17
volume_1,irenaeus,against_heresies_iv,Luke,Luke,2,29,new_testament,Bible:Luke.2.29,Luke ii. 29
volume_1,irenaeus,against_heresies_iv,Luke,Luke,2,8,new_testament,Bible:Luke.2.8,Luke ii. 8
volume_1,irenaeus,against_heresies_iv,Luke,Luke,1,46,new_testament,Bible:Luke.1.46,Luke i. 46
volume_1,irenaeus,against_heresies_iv,Gen,Gen,15,5,old_testament_or_other,Bible:Gen.15.5,Gen. xv. 5
volume_1,irenaeus,against_heresies_iv,Matt,Matt,3,9,new_testament,Bible:Matt.3.9,Matt. iii. 9
volume_1,irenaeus,against_heresies_iv,Rom,Rom,4,12,new_testament,Bible:Rom.4.12,Rom. iv. 12
volume_1,irenaeus,against_heresies_iv,Gal,Gal,4,28,new_testament,Bible:Gal.4.28,Gal. iv. 28
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,14,new_testament,Bible:Matt.5.14,Matt. v. 14
volume_1,irenaeus,against_heresies_iv,John,John,14,6,new_testament,Bible:John.14.6-John.14.7,"John xiv. 6, 7"
volume_1,irenaeus,against_heresies_iv,Gen,Gen,18,1,old_testament_or_other,Bible:Gen.18.1,Gen. xviii. 1
volume_1,irenaeus,against_heresies_iv,Exod,Exod,3,7,old_testament_or_other,Bible:Exod.3.7-Exod.3.8,"Ex. iii. 7, 8"
volume_1,irenaeus,against_heresies_iv,Matt,Matt,8,11,new_testament,Bible:Matt.8.11,Matt. viii. 11
volume_1,irenaeus,against_heresies_iv,Luke,Luke,13,28,new_testament,Bible:Luke.13.28,Luke xiii. 28
volume_1,irenaeus,against_heresies_iv,Luke,Luke,13,15,new_testament,Bible:Luke.13.15-Luke.13.16,"Luke xiii. 15, 16"
volume_1,irenaeus,against_heresies_iv,Luke,Luke,6,3,new_testament,Bible:Luke.6.3-Luke.6.4,"Luke vi. 3, 4"
volume_1,irenaeus,against_heresies_iv,1Pet,1Pet|1Pet,2,5,new_testament,Bible:1Pet.2.5 Bible:1Pet.2.9,"1 Pet. ii. 5, 9"
volume_1,irenaeus,against_heresies_iv,Exod,Exod,19,6,old_testament_or_other,Bible:Exod.19.6,Ex. xix. 6
volume_1,irenaeus,against_heresies_iv,Deut,Deut,33,9,old_testament_or_other,Bible:Deut.33.9,Deut. xxxiii. 9
volume_1,irenaeus,against_heresies_iv,Num,Num,18,20,old_testament_or_other,Bible:Num.18.20,Num. xviii. 20
volume_1,irenaeus,against_heresies_iv,Deut,Deut,18,1,old_testament_or_other,Bible:Deut.18.1,Deut. xviii. 1
volume_1,irenaeus,against_heresies_iv,Phil,Phil,4,17,new_testament,Bible:Phil.4.17,Phil. iv. 17
volume_1,irenaeus,against_heresies_iv,Matt,Matt,10,10,new_testament,Bible:Matt.10.10,Matt. x. 10
volume_1,irenaeus,against_heresies_iv,Num,Num,15,32,old_testament_or_other,Bible:Num.15.32,Num. xv. 32
volume_1,irenaeus,against_heresies_iv,Matt,Matt,3,10,new_testament,Bible:Matt.3.10,Matt. iii. 10
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,3,17,new_testament,Bible:1Cor.3.17,1 Cor. iii. 17
volume_1,irenaeus,against_heresies_iv,Matt,Matt,13,52,new_testament,Bible:Matt.13.52,Matt. xiii. 52
volume_1,irenaeus,against_heresies_iv,Matt,Matt,23,34,new_testament,Bible:Matt.23.34,Matt. xxiii. 34
volume_1,irenaeus,against_heresies_iv,Ps,Ps,96,1,old_testament_or_other,Bible:Ps.96.1,Ps. xcvi. 1
volume_1,irenaeus,against_heresies_iv,Isa,Isa,42,10,old_testament_or_other,Bible:Isa.42.10,Isa. xlii. 10
volume_1,irenaeus,against_heresies_iv,Jer,Jer,31,31,old_testament_or_other,Bible:Jer.31.31,Jer. xxxi. 31
volume_1,irenaeus,against_heresies_iv,Matt,Matt,12,6,new_testament,Bible:Matt.12.6,Matt. xii. 6
volume_1,irenaeus,against_heresies_iv,John,John,1,50,new_testament,Bible:John.1.50,John i. 50
volume_1,irenaeus,against_heresies_iv,Phil,Phil,3,12,new_testament,Bible:Phil.3.12,Phil. iii. 12
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,4,4,new_testament,Bible:1Cor.4.4,1 Cor. iv. 4
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,13,9,new_testament,Bible:1Cor.13.9-1Cor.13.10,"1 Cor. xiii. 9, 10"
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,8,new_testament,Bible:Matt.5.8,Matt. v. 8
volume_1,irenaeus,against_heresies_iv,Isa,Isa,25,9,old_testament_or_other,Bible:Isa.25.9,Isa. xxv. 9
volume_1,irenaeus,against_heresies_iv,1Pet,1Pet,1,8,new_testament,Bible:1Pet.1.8,1 Pet. i. 8
volume_1,irenaeus,against_heresies_iv,Rom,Rom,8,15,new_testament,Bible:Rom.8.15,Rom. viii. 15
volume_1,irenaeus,against_heresies_iv,2Tim,2Tim,3,7,new_testament,Bible:2Tim.3.7,2 Tim. iii. 7
volume_1,irenaeus,against_heresies_iv,Matt,Matt,15,3,new_testament,Bible:Matt.15.3-Matt.15.4,"Matt. xv. 3, 4"
volume_1,irenaeus,against_heresies_iv,Exod,Exod,20,12,old_testament_or_other,Bible:Exod.20.12,Ex. xx. 12
volume_1,irenaeus,against_heresies_iv,John,John,5,39,new_testament,Bible:John.5.39-John.5.40,"John v. 39, 40"
volume_1,irenaeus,against_heresies_iv,John,John,5,46,new_testament,Bible:John.5.46,John v. 46
volume_1,irenaeus,against_heresies_iv,Gen,Gen,18,13,old_testament_or_other,Bible:Gen.18.13,Gen. xviii. 13
volume_1,irenaeus,against_heresies_iv,Gen,Gen,31,11,old_testament_or_other,Bible:Gen.31.11,Gen. xxxi. 11
volume_1,irenaeus,against_heresies_iv,Exod,Exod,3,4,old_testament_or_other,Bible:Exod.3.4,Ex. iii. 4
volume_1,irenaeus,against_heresies_iv,Deut,Deut,16,5,old_testament_or_other,Bible:Deut.16.5-Deut.16.6,"Deut. xvi. 5, 6"
volume_1,irenaeus,against_heresies_iv,Gen,Gen,49,10,old_testament_or_other,Bible:Gen.49.10-Gen.49.12,Gen. xlix. 10–12
volume_1,irenaeus,against_heresies_iv,Deut,Deut,32,6,old_testament_or_other,Bible:Deut.32.6,Deut. xxxii. 6
volume_1,irenaeus,against_heresies_iv,Deut,Deut,28,66,old_testament_or_other,Bible:Deut.28.66,Deut. xxviii. 66
volume_1,irenaeus,against_heresies_iv,Matt,Matt,13,17,new_testament,Bible:Matt.13.17,Matt. xiii. 17
volume_1,irenaeus,against_heresies_iv,Gen,Gen,1,28,old_testament_or_other,Bible:Gen.1.28,Gen. i. 28
volume_1,irenaeus,against_heresies_iv,Matt,Matt,25,21,new_testament,Bible:Matt.25.21,Matt. xxv. 21
volume_1,irenaeus,against_heresies_iv,Ps,Ps,35,9,old_testament_or_other,Bible:Ps.35.9,Ps. xxxv. 9
volume_1,irenaeus,against_heresies_iv,Matt,Matt,21,8,new_testament,Bible:Matt.21.8,Matt. xxi. 8
volume_1,irenaeus,against_heresies_iv,Matt,Matt,21,16,new_testament,Bible:Matt.21.16,Matt. xxi. 16
volume_1,irenaeus,against_heresies_iv,Ps,Ps,8,3,old_testament_or_other,Bible:Ps.8.3,Ps. viii. 3
volume_1,irenaeus,against_heresies_iv,Isa,Isa,1,22,old_testament_or_other,Bible:Isa.1.22,Isa. i. 22
volume_1,irenaeus,against_heresies_iv,Matt,Matt,15,3,new_testament,Bible:Matt.15.3,Matt. xv. 3
volume_1,irenaeus,against_heresies_iv,Rom,Rom,13,10,new_testament,Bible:Rom.13.10,Rom. xiii. 10
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,13,13,new_testament,Bible:1Cor.13.13,1 Cor. xiii. 13
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,13,2,new_testament,Bible:1Cor.13.2,1 Cor. xiii. 2
volume_1,irenaeus,against_heresies_iv,Matt,Matt,23,2,new_testament,Bible:Matt.23.2-Matt.23.4,Matt. xxiii. 2–4
volume_1,irenaeus,against_heresies_iv,Isa,Isa,29,13,old_testament_or_other,Bible:Isa.29.13,Isa. xxix. 13
volume_1,irenaeus,against_heresies_iv,Rom,Rom,10,3,new_testament,Bible:Rom.10.3-Rom.10.4,"Rom. x. 3, 4"
volume_1,irenaeus,against_heresies_iv,Matt,Matt,19,17,new_testament,Bible:Matt.19.17-Matt.19.18,"Matt. xix. 17, 18"
volume_1,irenaeus,against_heresies_iv,Luke,Luke,19,8,new_testament,Bible:Luke.19.8,Luke xix. 8
volume_1,irenaeus,against_heresies_iv,Rom,Rom,2,27,new_testament,Bible:Rom.2.27,Rom. ii. 27
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,27,new_testament,Bible:Matt.5.27-Matt.5.28,"Matt. v. 27, 28"
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,21,new_testament,Bible:Matt.5.21-Matt.5.22,"Matt. v. 21, 22"
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,33,new_testament,Bible:Matt.5.33,Matt. v. 33
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,20,new_testament,Bible:Matt.5.20,Matt. v. 20
volume_1,irenaeus,against_heresies_iv,Matt,Matt,19,21,new_testament,Bible:Matt.19.21,Matt. xix. 21
volume_1,irenaeus,against_heresies_iv,Luke,Luke,6,29,new_testament,Bible:Luke.6.29-Luke.6.31,Luke vi. 29–31
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,41,new_testament,Bible:Matt.5.41,Matt. v. 41
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,45,new_testament,Bible:Matt.5.45,Matt. v. 45
volume_1,irenaeus,against_heresies_iv,John,John,15,15,new_testament,Bible:John.15.15,John xv. 15
volume_1,irenaeus,against_heresies_iv,Jas,Jas,2,23,new_testament,Bible:Jas.2.23,Jas. ii. 23
volume_1,irenaeus,against_heresies_iv,John,John,8,58,new_testament,Bible:John.8.58,John viii. 58
volume_1,irenaeus,against_heresies_iv,John,John,17,5,new_testament,Bible:John.17.5,John xvii. 5
volume_1,irenaeus,against_heresies_iv,John,John,15,16,new_testament,Bible:John.15.16,John xv. 16
volume_1,irenaeus,against_heresies_iv,John,John,17,24,new_testament,Bible:John.17.24,John xvii. 24
volume_1,irenaeus,against_heresies_iv,Isa,Isa,43,5,old_testament_or_other,Bible:Isa.43.5,Isa. xliii. 5
volume_1,irenaeus,against_heresies_iv,Matt,Matt,24,28,new_testament,Bible:Matt.24.28,Matt. xxiv. 28
volume_1,irenaeus,against_heresies_iv,Luke,Luke,15,22,new_testament,Bible:Luke.15.22-Luke.15.23,"Luke xv. 22, 23"
volume_1,irenaeus,against_heresies_iv,Rev,Rev,1,15,new_testament,Bible:Rev.1.15,Rev. i. 15
volume_1,irenaeus,against_heresies_iv,Exod,Exod,25,40,old_testament_or_other,Bible:Exod.25.40,Ex. xxv. 40
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,10,11,new_testament,Bible:1Cor.10.11,1 Cor. x. 11
volume_1,irenaeus,against_heresies_iv,Deut,Deut,5,22,old_testament_or_other,Bible:Deut.5.22,Deut. v. 22
volume_1,irenaeus,against_heresies_iv,Ezek,Ezek,20,24,old_testament_or_other,Bible:Ezek.20.24,Ezek. xx. 24
volume_1,irenaeus,against_heresies_iv,Acts,Acts,6,3,new_testament,Bible:Acts.6.3-Acts.6.7,Acts vi. 3–7
volume_1,irenaeus,against_heresies_iv,Amos,Amos,5,25,old_testament_or_other,Bible:Amos.5.25-Amos.5.26,"Amos v. 25, 26"
volume_1,irenaeus,against_heresies_iv,Acts,Acts,7,38,new_testament,Bible:Acts.7.38,Acts vii. 38
volume_1,irenaeus,against_heresies_iv,Exod,Exod,33,2,old_testament_or_other,Bible:Exod.33.2-Exod.33.3,"Ex. xxxiii. 2, 3"
volume_1,irenaeus,against_heresies_iv,Matt,Matt,19,7,new_testament,Bible:Matt.19.7-Matt.19.8,"Matt. xix. 7, 8"
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,7,12,new_testament,Bible:1Cor.7.12,1 Cor. vii. 12
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,7,6,new_testament,Bible:1Cor.7.6,1 Cor. vii. 6
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,7,25,new_testament,Bible:1Cor.7.25,1 Cor. vii. 25
volume_1,irenaeus,against_heresies_iv,1Cor,1Cor,7,5,new_testament,Bible:1Cor.7.5,1 Cor. vii. 5
volume_1,irenaeus,against_heresies_iv,Matt,Matt,20,16,new_testament,Bible:Matt.20.16,Matt. xx. 16
volume_1,irenaeus,against_heresies_iv,Gen,Gen,17,9,old_testament_or_other,Bible:Gen.17.9-Gen.17.11,Gen. xvii. 9–11
volume_1,irenaeus,against_heresies_iv,Ezek,Ezek,20,12,old_testament_or_other,Bible:Ezek.20.12,Ezek. xx. 12
volume_1,irenaeus,against_heresies_iv,Exod,Exod,21,13,old_testament_or_other,Bible:Exod.21.13,Ex. xxi. 13
volume_1,irenaeus,against_heresies_iv,Col,Col,2,11,new_testament,Bible:Col.2.11,Col. ii. 11
volume_1,irenaeus,against_heresies_iv,Deut,Deut,10,16,old_testament_or_other,Bible:Deut.10.16,Deut. x. 16
volume_1,irenaeus,against_heresies_iv,Rom,Rom,8,36,new_testament,Bible:Rom.8.36,Rom. viii. 36
volume_1,irenaeus,against_heresies_iv,Matt,Matt,6,19,new_testament,Bible:Matt.6.19,Matt. vi. 19
volume_1,irenaeus,against_heresies_iv,Gen,Gen,6,2,old_testament_or_other,Bible:Gen.6.2,Gen. vi. 2
volume_1,irenaeus,against_heresies_iv,Deut,Deut,5,2,old_testament_or_other,Bible:Deut.5.2,Deut. v. 2
volume_1,irenaeus,against_heresies_iv,1Tim,1Tim,1,9,new_testament,Bible:1Tim.1.9,1 Tim. i. 9
volume_1,irenaeus,against_heresies_iv,Deut,Deut,8,3,old_testament_or_other,Bible:Deut.8.3,Deut. viii. 3
volume_1,irenaeus,against_heresies_iv,Deut,Deut,10,12,old_testament_or_other,Bible:Deut.10.12,Deut. x. 12
volume_1,irenaeus,against_heresies_iv,Deut,Deut,30,19,old_testament_or_other,Bible:Deut.30.19-Deut.30.20,"Deut. xxx. 19, 20"
volume_1,irenaeus,against_heresies_iv,Deut,Deut,4,14,old_testament_or_other,Bible:Deut.4.14,Deut. iv. 14
volume_1,irenaeus,against_heresies_iv,Matt,Matt,12,36,new_testament,Bible:Matt.12.36,Matt. xii. 36
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,28,new_testament,Bible:Matt.5.28,Matt. v. 28
volume_1,irenaeus,against_heresies_iv,Matt,Matt,5,22,new_testament,Bible:Matt.5.22,Matt. v. 22
volume_1,irenaeus,against_heresies_iv,1Pet,1Pet,2,16,new_testament,Bible:1Pet.2.16,1 Pet. ii. 16
volume_1,irenaeus,against_heresies_iv,1Sam,1Sam,15,22,old_testament_or_other,Bible:1Sam.15.22,1 Sam. xv. 22
volume_1,irenaeus,against_heresies_iv,Heb,Heb,10,9,new_testament,Bible:Heb.10.9,Heb. x. 9
